file,task,n,accuracy,invalid,invalid_rate,blank,blank_rate,avg_forward_calls,invalid_examples
llada8b_fixed32_arc_challenge_limit50_seed23.json,arc_challenge,50,0.86,0,0.0,0,0.0,32.0,[]
llada8b_fixed32_boolq_limit50_seed23.json,boolq,50,0.86,0,0.0,0,0.0,32.0,[]
llada8b_fixed32_ceval_computer_network_limit50_seed23.json,ceval_computer_network,50,0.56,0,0.0,0,0.0,32.0,[]
llada8b_fixed32_commonsenseqa_limit50_seed23.json,commonsenseqa,50,0.8,0,0.0,0,0.0,32.0,[]
llada8b_fixed32_drop_span_limit50_seed23.json,drop_span,50,0.0,0,0.0,0,0.0,32.0,[]
llada8b_fixed32_gsm8k_limit50_seed23.json,gsm8k,50,0.78,0,0.0,0,0.0,32.0,[]
llada8b_fixed32_hellaswag_limit50_seed23.json,hellaswag,50,0.74,0,0.0,0,0.0,32.0,[]
llada8b_fixed32_mmlu_pro_limit50_seed23.json,mmlu_pro,50,0.4,0,0.0,0,0.0,32.0,[]
llada8b_fixed32_pubmedqa_limit50_seed23.json,pubmedqa,50,0.62,0,0.0,0,0.0,32.0,[]
llada8b_fixed32_sciq_limit50_seed23.json,sciq,50,0.86,0,0.0,0,0.0,32.0,[]
llada8b_fixed32_winogrande_limit50_seed23.json,winogrande,50,0.76,0,0.0,0,0.0,32.0,[]
llada8b_jys_middle16_arc_challenge_limit50_seed23.json,arc_challenge,50,0.86,0,0.0,0,0.0,16.0,[]
llada8b_jys_middle16_boolq_limit50_seed23.json,boolq,50,0.86,0,0.0,0,0.0,16.0,[]
llada8b_jys_middle16_ceval_computer_network_limit50_seed23.json,ceval_computer_network,50,0.56,0,0.0,0,0.0,16.0,[]
llada8b_jys_middle16_commonsenseqa_limit50_seed23.json,commonsenseqa,50,0.8,0,0.0,0,0.0,16.0,[]
llada8b_jys_middle16_drop_span_limit50_seed23.json,drop_span,50,0.0,0,0.0,0,0.0,16.0,[]
llada8b_jys_middle16_gsm8k_limit50_seed23.json,gsm8k,50,0.64,0,0.0,0,0.0,16.0,[]
llada8b_jys_middle16_hellaswag_limit50_seed23.json,hellaswag,50,0.74,0,0.0,0,0.0,16.0,[]
llada8b_jys_middle16_mmlu_pro_limit50_seed23.json,mmlu_pro,50,0.4,0,0.0,0,0.0,16.0,[]
llada8b_jys_middle16_pubmedqa_limit50_seed23.json,pubmedqa,50,0.62,1,0.02,1,0.02,16.0,"[{""id"": ""21880023"", ""gold"": ""no"", ""pred"": """", ""output"": ""Final answer:""}]"
llada8b_jys_middle16_sciq_limit50_seed23.json,sciq,50,0.86,0,0.0,0,0.0,16.0,[]
llada8b_jys_middle16_winogrande_limit50_seed23.json,winogrande,50,0.74,2,0.04,2,0.04,16.0,"[{""id"": ""1085"", ""gold"": ""A"", ""pred"": """", ""output"": ""Final answer:""}, {""id"": ""1209"", ""gold"": ""B"", ""pred"": """", ""output"": ""Final answer:""}]"
llada8b_prophet_arc_challenge_limit50_seed23.json,arc_challenge,50,0.86,0,0.0,0,0.0,32.0,[]
llada8b_prophet_boolq_limit50_seed23.json,boolq,50,0.86,0,0.0,0,0.0,32.0,[]
llada8b_prophet_ceval_computer_network_limit50_seed23.json,ceval_computer_network,50,0.56,0,0.0,0,0.0,32.0,[]
llada8b_prophet_commonsenseqa_limit50_seed23.json,commonsenseqa,50,0.8,0,0.0,0,0.0,32.0,[]
llada8b_prophet_drop_span_limit50_seed23.json,drop_span,50,0.0,0,0.0,0,0.0,31.44,[]
llada8b_prophet_gsm8k_limit50_seed23.json,gsm8k,50,0.64,0,0.0,0,0.0,15.84,[]
llada8b_prophet_hellaswag_limit50_seed23.json,hellaswag,50,0.74,0,0.0,0,0.0,32.0,[]
llada8b_prophet_mmlu_pro_limit50_seed23.json,mmlu_pro,50,0.4,0,0.0,0,0.0,31.6,[]
llada8b_prophet_pubmedqa_limit50_seed23.json,pubmedqa,50,0.64,0,0.0,0,0.0,32.0,[]
llada8b_prophet_sciq_limit50_seed23.json,sciq,50,0.86,0,0.0,0,0.0,32.0,[]
llada8b_prophet_winogrande_limit50_seed23.json,winogrande,50,0.76,0,0.0,0,0.0,32.0,[]
llada8b_refinement_arc_challenge_limit50_seed23.json,arc_challenge,50,0.86,0,0.0,0,0.0,33.0,[]
llada8b_refinement_boolq_limit50_seed23.json,boolq,50,0.84,0,0.0,0,0.0,11.08,[]
llada8b_refinement_ceval_computer_network_limit50_seed23.json,ceval_computer_network,50,0.56,0,0.0,0,0.0,33.0,[]
llada8b_refinement_commonsenseqa_limit50_seed23.json,commonsenseqa,50,0.8,0,0.0,0,0.0,10.04,[]
llada8b_refinement_drop_span_limit50_seed23.json,drop_span,50,0.0,0,0.0,0,0.0,32.0,[]
llada8b_refinement_gsm8k_limit50_seed23.json,gsm8k,50,0.78,0,0.0,0,0.0,32.0,[]
llada8b_refinement_hellaswag_limit50_seed23.json,hellaswag,50,0.74,0,0.0,0,0.0,33.0,[]
llada8b_refinement_mmlu_pro_limit50_seed23.json,mmlu_pro,50,0.4,0,0.0,0,0.0,32.64,[]
llada8b_refinement_pubmedqa_limit50_seed23.json,pubmedqa,50,0.64,0,0.0,0,0.0,33.0,[]
llada8b_refinement_sciq_limit50_seed23.json,sciq,50,0.86,0,0.0,0,0.0,33.0,[]
llada8b_refinement_winogrande_limit50_seed23.json,winogrande,50,0.76,0,0.0,0,0.0,13.32,[]
